country,rank,power_index,active_personnel,reserve_personnel,paramilitary,fit_for_service,military_age_annually,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,total_naval_fleet_tonnage_mt,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,defense_budget_usd,gdp_ppp_usd,forex_reserves_usd,external_debt_usd
Pakistan,14,0.2626,660000,550000,500000,85803614,4794908,1397,331,90,63,563,27,4,379,55,2677,59044,662,2629,652,120,115187.0,0,0,8,0,9,6,79,9102115350.0,1390000000000.0,18408000000.0,89148000000.0
Israel,15,0.2707,169500,465000,35000,3281513,131637,597,239,45,14,148,19,13,127,48,1300,62380,323,171,228,82,40638.0,0,0,6,0,0,7,66,34600000000.0,472177000000.0,214544000000.0,163350000000.0
Iran,16,0.3199,610000,350000,220000,41541860,1414191,551,188,21,86,103,10,6,129,13,2675,75939,424,1803,1550,109,283516.0,0,0,25,0,7,3,21,9230000000.0,1486000000000.0,120600000000.0,6759000000.0
Australia,17,0.3208,58910,33270,0,9208398,294455,348,24,71,37,107,31,6,72,22,46,17118,0,48,8,45,199898.0,0,2,6,3,7,0,13,57350000000.0,1635000000000.0,60404000000.0,3770250000000.0
Spain,18,0.3247,121802,24033,78470,17635602,330963,440,136,12,51,108,8,0,169,17,298,49324,96,188,0,175,249889.0,1,0,2,0,11,0,112,39000676350.0,2361000000000.0,107774000000.0,2830010000000.0
Egypt,19,0.3651,438500,479000,300000,38269053,1668709,1088,242,90,53,344,11,0,348,100,3620,54694,1056,962,648,149,235989.0,0,2,8,0,13,7,61,5193500000.0,1958000000000.0,44921000000.0,117272000000.0
Ukraine,20,0.3691,900000,4000000,100000,12731272,392280,347,88,30,22,72,5,0,140,39,1121,45458,682,625,288,169,22266.0,0,0,0,0,0,0,133,45000000000.0,577583000000.0,43781000000.0,90003000000.0
Poland,21,0.3891,250000,350000,50000,15576017,464956,457,58,12,44,112,11,0,224,29,798,57972,593,0,298,63,55530.0,0,0,1,0,2,2,3,55865141600.0,1649000000000.0,223115000000.0,425642000000.0
Taiwan,22,0.3927,230000,1657000,55000,1061787,306739,720,258,0,19,215,18,0,239,91,1090,24067,488,1360,223,91,244050.0,0,0,4,4,21,7,36,31180000000.0,1743000000000.0,541899000000.0,229900000000.0
Vietnam,23,0.4066,450000,5000000,250000,45053323,1797903,265,61,0,6,91,3,0,101,0,1999,69914,30,3250,774,116,102147.0,0,0,6,0,9,17,27,10200000000.0,1456000000000.0,83082000000.0,34426000000.0
