country,total_population,gdp,defense_budget,total_manpower,active_personnel,reserve_personnel,air_force_personnel,army_personnel,navy_personnel,total_aircraft,attack_aircraft,fighter_aircraft,transport_aircraft,helicopters,special_mission_aircraft,trainer_aircraft,attack_helicopters,tanker_aircraft,naval_assets,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessel,mine_warfare,tanks,self_propelled_artillery,towed_artillery,rocket_artillery,external_debt,power_index
Belarus,9501451,265220000000.0,1034784000.0,5035769,63000,365400,11300,18000,0,194,50,43,4,70,0,27,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18010000000.0,1.4072
Syria,23865423,98858000000.0,145925000.0,15273871,100000,0,7500,100000,3250,104,5,52,2,39,0,8,7,0,12,0,0,0,0,0,0,8,0,0,0,0,0,4441250000.0,1.8861
Central African Republic,5650957,5926000000.0,300000000.0,2203873,30000,0,100,30000,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,724179000.0,4.2381
Lithuania,2628186,136227000000.0,5651760000.0,1708321,23000,104000,1500,21000,700,9,0,0,5,4,0,0,0,0,13,0,0,0,0,0,0,5,4,0,0,0,0,48400000000.0,1.8949
Germany,84119100,5247000000000.0,127400000000.0,38694786,184324,860000,27725,63000,15531,569,63,127,55,292,27,16,49,3,96,0,0,0,11,6,6,54,12,0,0,0,0,6862470000000.0,0.2463
South Africa,60442647,870420000000.0,2877000000.0,27803618,68731,29350,13815,53872,7890,181,0,2,11,87,0,81,10,0,63,0,0,0,4,0,3,42,4,0,0,0,0,93879000000.0,0.6843
Estonia,1193791,57001000000.0,2375000000.0,584958,7700,230000,400,44000,550,2,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,4,4,0,0,0,0,29040000000.0,2.3201
Qatar,2552088,317064000000.0,11950000000.0,638022,26550,4000,2000,12500,2500,263,6,115,12,85,0,45,24,0,125,0,0,0,0,4,0,107,0,0,0,0,0,205700000000.0,1.4096
Namibia,2803660,31154000000.0,450498000.0,616805,17567,0,1175,8500,3000,36,0,11,5,7,0,13,2,0,15,0,0,0,0,2,0,15,0,0,0,0,0,9680000000.0,2.7414
Algeria,47022473,722912000000.0,25000000000.0,22570787,130000,150000,14000,280000,15000,620,42,111,63,300,10,90,74,4,111,0,0,0,8,8,6,75,3,0,0,0,0,4764000000.0,0.4849
Sri Lanka,21982608,301407000000.0,1500000000.0,10551652,346000,90000,26000,150000,40000,90,0,6,15,49,3,7,8,0,275,0,0,0,5,0,0,259,0,0,0,0,0,42198000000.0,1.3822
North Korea,26298666,15416000000.0,4750000000.0,9467520,1320000,560000,110000,1370000,60000,837,114,341,1,205,0,176,20,0,332,0,0,2,2,8,24,227,1,0,0,0,0,6050000000.0,0.5933
Greece,10461091,192205000000.0,8242150000.0,4916713,142700,221350,42500,200000,30000,560,0,178,17,285,8,86,28,0,186,0,0,0,14,0,9,45,3,0,0,0,0,605000000000.0,0.5484
