country,power_index,total_population,gdp,defense_budget,external_debt,total_manpower,active_personnel,reserve_personnel,total_aircraft,fighter_aircraft,trainer_aircraft,special_mission_aircraft,helicopters,attack_helicopters,tanks_stock,tanks_readiness,self_propelled_artillery_stock,self_propelled_artillery_readiness,towed_artillery_stock,towed_artillery_readiness,naval_assets,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessel,mine_warfare
Belgium,1.2201,"11,977,634","$749,229,000,000","$14,900,000,000","$1,594,190,730,000","4,910,830","26,390","6,600",104,44,27,0,14,0,0,0,0,0,0,0,9,0,0,0,2,0,0,2,5
Beliz,4.3602,"415,789","$5,538,000,000","$34,400,000","$1,235,000,000","158,000","2,000",850,3,0,0,1,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,15,0
Benin,3.8963,"14,697,052","$56,424,000,000","$137,690,000","$6,309,000,000","5,584,880","4,750",0,7,0,0,1,5,0,0,0,0,0,16,7,2,0,0,0,0,0,0,2,0
Bhutan,5.7991,"884,546","$11,517,000,000","$26,600,000","$2,827,000,000","203,446","16,000","50,000",2,0,0,0,2,0,0,0,0,0,0,0,,,,,,,,,
Bolivia,1.8301,"12,311,974","$122,200,000,000","$467,670,000","$11,174,000,000","5,417,269","40,000","40,000",67,0,20,2,29,0,54,30,0,0,58,32,,,,,,,,,
Bosnia and Herzegovina,3.1291,"3,798,671","$64,641,000,000","$289,920,000","$5,359,000,000","2,355,176","18,000","8,000",15,0,0,0,15,0,45,29,0,0,300,195,0,0,0,0,0,0,0,0,0
Botswana,2.9993,"2,450,668","$45,553,000,000","$581,000,000","$1,761,000,000","1,029,281","12,000",0,45,10,10,0,16,0,45,20,12,5,36,16,,,,,,,,,
Brazil,0.2374,"220,051,512","$4,165,000,000,000","$26,400,000,000","$198,582,000,000","112,226,271","376,000","1,340,000",495,44,124,25,186,0,294,191,149,97,412,268,69,0,1,0,8,2,6,22,4
Bulgaria,1.2522,"6,782,659","$219,645,000,000","$2,485,350,000","$14,277,000,000","3,187,850","36,950","3,000",71,11,26,0,23,4,334,217,48,31,24,16,45,0,0,0,6,3,0,0,17
Burkina Faso,2.9213,"23,042,199","$60,001,000,000","$4,590,000,000","$3,565,000,000","8,525,614","7,500",0,26,0,0,2,19,5,0,0,0,0,8,3,,,,,,,,,
Cambodia,1.8434,"17,063,669","$123,676,000,000","$750,000,000","$8,019,000,000","8,190,561","124,300",0,24,0,0,0,20,0,520,286,30,17,525,289,20,0,0,0,0,0,0,20,0
Cameroon,2.1689,"30,966,105","$143,264,000,000","$835,694,942","$11,112,000,000","10,528,476","38,000",0,35,0,6,2,21,0,0,0,18,10,52,29,19,0,0,0,0,0,0,19,0
Canada,0.5269,"38,794,813","$2,341,000,000,000","$45,824,959,620","$2,571,113,270,000","16,681,770","63,500","23,000",354,66,95,34,146,0,74,56,0,0,0,0,67,0,0,0,12,0,4,17,0
Central African Republic,4.2381,"5,650,957","$5,926,000,000","$300,000,000","$724,179,000","2,203,873","30,000",0,8,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Chad,1.8594,"19,093,595","$52,895,000,000","$706,800,000","$2,286,000,000","6,873,694","37,750",0,40,0,8,2,16,3,90,50,10,6,13,7,,,,,,,,,
