Country,Power_Index,defense_spending,purchasing_power_parity,coastline_coverage,border_coverage,total_aircraft_strength,tank_strength,total_naval_assets,fighter_aircraft,attack_aircraft,transport_aircraft,total_military_manpower,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,total_naval_fleet_tonnage_mt,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,defense_budget_usd,external_debt_usd,foreign_exchange_gold_reserves,total_serviceable_airports,major_ports_and_terminals,total_merchant_marine_fleet,railway_coverage_km,roadway_coverage_km,oil_production_bbl,oil_consumption_bbl,proven_oil_reserves_bbl,natural_gas_production_cum,natural_gas_consumption_cum,proven_natural_gas_reserves_cum,coal_production_cum,coal_consumption_mt,proven_coal_reserves_cum,total_land_area_sq_km,waterway_coverage_km,Flag_URL,Power_Index_Rank_Gap,Power_Index_Rank,economic_assets_per_military_manpower,budget_to_gdp_ratio,Region,Alliance
Sri Lanka,1.3822,1500000000,3.01E+11,1340,0,90,87,275,6,0,15,346000,7,3,0,49,8,87,15021,0,96,28,275,32636,0,0,0,0,5,0,259,1500000000,42198000000,6094000000,18,6,96,1562,114093,0,100000,0,0,0,0,0,2323000,0,65610,160,https://www.globalfirepower.com/imgs/flags/sml/sri-lanka.jpg,0.0089,68,871118.4971,0.004976659,Asia,None
Slovakia,1.3911,2900000000,2.19E+11,0,1587,48,45,0,7,0,7,20982,11,1,0,22,0,45,6636,35,9,25,0,,0,0,0,0,0,0,0,2900000000,1.40E+11,14452000000,116,0,0,3627,45106,7000,90000,9000000,52556000,60424000,14158000000,2315000,6066000,19000000,49035,172,https://www.globalfirepower.com/imgs/flags/sml/slovakia.jpg,0.0161,69,10426174.82,0.013256416,Europe,NATO
Belarus,1.4072,1034784000,2.65E+11,0,3599,194,577,0,43,50,4,63000,27,0,0,70,31,577,6820,357,190,206,0,,0,0,0,0,0,0,0,1034784000,18010000000,8912000000,46,0,4,5528,86600,30000,125000,198000000,73929000,16683000000,2832000000,0,710000,0,207600,2500,https://www.globalfirepower.com/imgs/flags/sml/belarus.jpg,0.0024,70,4209841.27,0.003901606,Europe,CSTO
Qatar,1.4096,11950000000,3.17E+11,563,87,263,62,125,115,6,12,26550,45,0,0,85,24,62,5576,46,12,16,125,,0,0,0,0,0,4,107,11950000000,2.06E+11,53987000000,8,6,123,0,7039,1818000,268000,25244000,1.70E+11,41515000000,2.39E+13,0,0,0,11586,0,https://www.globalfirepower.com/imgs/flags/sml/qatar.jpg,0.0383,71,11942146.89,0.037689552,Asia,None
Ecuador,1.4479,2963400000,2.53E+11,2237,2237,99,202,30,0,0,20,41250,34,8,0,43,0,202,5322,5,106,24,30,,0,0,2,0,2,6,5,2963400000,39658000000,6908000000,317,6,154,965,43950,480000,272000,8273000000,309778000,309778000,10902000000,0,14000,24000000,283560,1500,https://www.globalfirepower.com/imgs/flags/sml/ecuador.jpg,0.0953,72,6126739.394,0.01172565,South America,None
Croatia,1.5432,2744000000,1.65E+11,5835,2237,67,55,30,12,0,0,14325,26,0,0,37,0,55,4874,25,42,42,30,,0,0,0,0,0,0,11,2744000000,60500000000,3336000000,45,16,384,2617,26958,11000,70000,71000000,741456000,2502000000,24919000000,0,596000,0,56594,4714,https://www.globalfirepower.com/imgs/flags/sml/croatia.jpg,0.0149,73,11506108.2,0.01664796,Europe,NATO
Jordan,1.5581,2668500000,1.10E+11,26,1744,279,1508,27,44,10,12,114500,66,11,0,159,44,1508,25278,478,80,84,27,,0,0,0,0,0,0,27,2668500000,21058000000,21939000000,18,1,34,509,7203,20,97000,1000000,187262000,4382000000,6031000000,0,269000,0,89342,0,https://www.globalfirepower.com/imgs/flags/sml/jordan.jpg,0.115,74,960576.4192,0.024262179,Asia,None
Bahrain,1.6731,997015509,93937000000,161,0,137,150,64,28,0,3,18400,40,0,0,66,34,150,5196,38,26,18,64,,0,0,0,0,2,2,50,997015509,54450000000,4949000000,3,4,184,0,4122,190000,72000,186500000,18005000000,17924000000,81382000000,0,0,0,760,0,https://www.globalfirepower.com/imgs/flags/sml/bahrain.jpg,0.043,75,5105271.739,0.010613661,Asia,None
Kuwait,1.7161,7987000000,2.26E+11,499,475,133,367,123,47,0,2,78000,13,0,3,68,16,367,7472,51,0,27,123,,0,0,0,0,0,0,106,7987000000,60500000000,50728000000,6,6,176,0,5749,2910000,430000,1.02E+11,19285000000,26083000000,1.78E+12,0,60000,0,17818,0,https://www.globalfirepower.com/imgs/flags/sml/kuwait.jpg,0.0097,76,2896756.41,0.035348998,Asia,None
Albania,1.7258,720037190,51360000000,362,691,20,0,33,0,0,1,7500,0,0,0,19,0,0,1492,10,0,270,33,,0,0,0,0,0,0,33,720037190,5363000000,6516000000,3,3,69,424,3581,14000,21000,150000000,50623000,50623000,5692000000,473000,255000,522000000,28748,41,https://www.globalfirepower.com/imgs/flags/sml/albania.jpg,0.0201,77,6848000,0.014019416,Europe,NATO
